Level,Class,Name,School,Casting Time,Range,Duration,Components
Cantrip,Artificer,Acid Splash,Conjuration,1 Action,60 Feet,Instantaneous,"V, S"
Cantrip,Artificer,Booming Blade,Evocation,1 Action,Self (5-foot radius),1 round,"S, M"
Cantrip,Artificer,Create Bonfire,Conjuration,1 Action,60 Feet,Concentration up to 1 minute,"V, S"
Cantrip,Artificer,Dancing Lights,Evocation,1 Action,120 Feet,Concentration up to 1 minute,"V, S, M"
Cantrip,Artificer,Fire Bolt,Evocation,1 Action,120 Feet,Instantaneous,"V, S"
Cantrip,Artificer,Frostbite,Evocation,1 Action,60 Feet,Instantaneous,"V, S"
Cantrip,Artificer,Green-Flame Blade,Evocation,1 Action,Self (5-foot radius),Instantaneous,"S, M"
Cantrip,Artificer,Guidance,Divination,1 Action,Touch,Concentration up to 1 minute,"V, S"
Cantrip,Artificer,Light,Evocation,1 Action,Touch,1 hour,"V, M"
Cantrip,Artificer,Lightning Lure,Evocation,1 Action,Self (15-foot radius),Instantaneous,V
Cantrip,Artificer,Mage Hand,Conjuration,1 Action,30 Feet,1 minute,"V, S"
Cantrip,Artificer,Magic Stone,Transmutation,1 Bonus Action,Touch,1 minute,"V, S"
Cantrip,Artificer,Mending,Transmutation,1 Minute,Touch,Instantaneous,"V, S, M"
Cantrip,Artificer,Message,Transmutation,1 Action,120 feet,1 round,"V, S, M"
Cantrip,Artificer,Poison Spray,Conjuration,1 Action,10 feet,Instantaneous,"V, S"
Cantrip,Artificer,Prestidigitation,Transmutation,1 Action,10 feet,Up to 1 hour,"V, S"
Cantrip,Artificer,Ray of Frost,Evocation,1 Action,60 feet,Instantaneous,"V, S"
Cantrip,Artificer,Resistance,Abjuration,1 Action,Touch,Concentration up to 1 minute,"V, S, M"
Cantrip,Artificer,Shocking Grasp,Evocation,1 Action,Touch,Instantaneous,"V, S"
Cantrip,Artificer,Spare the Dying,Necromancy,1 Action,Touch,Instantaneous,"V, S"
Cantrip,Artificer,Sword Burst,Conjuration,1 Action,Self (5-foot radius),Instantaneous,V
Cantrip,Artificer,Thorn Whip,Transmutation,1 Action,30 feet,Instantaneous,"V, S, M"
Cantrip,Artificer,Thunderclap,Evocation,1 Action,Self (5-foot radius),Instantaneous,S
Cantrip,Bard,Blade Ward,Abjuration,1 Action,Self,1 round,"V, S"
Cantrip,Bard,Dancing Lights,Evocation,1 Action,120 Feet,Concentration up to 1 minute,"V, S, M"
Cantrip,Bard,Friends,Enchantment,1 Action,Self,Concentration up to 1 minute,"S, M"
