Background,Item,Description,Source
Acolyte,Trait,"I idolize a particular hero of my faith, and constantly refer to that person's deeds and example.",Player's Handbook
Acolyte,Trait,"I can find common ground between the fiercest enemies, empathizing with them and always working toward peace.",Player's Handbook
Acolyte,Trait,"I see omens in every event and action. The gods try to speak to us, we just need to listen.",Player's Handbook
Acolyte,Trait,Nothing can shake my optimistic attitude.,Player's Handbook
Acolyte,Trait,I quote (or misquote) sacred texts and proverbs in almost every situation.,Player's Handbook
Acolyte,Trait,I am tolerant (or intolerant) of other faiths and respect (or condemn) the worship of other gods.,Player's Handbook
Acolyte,Trait,"I've enjoyed fine food, drink, and high society among my temple's elite. Rough living grates on me.",Player's Handbook
Acolyte,Trait,I've spent so long in the temple that I have little practical experience dealing with people in the outside world.,Player's Handbook
Acolyte,Ideal,Tradition. The ancient traditions of worship and sacrifice must be preserved and upheld. (Lawful),Player's Handbook
Acolyte,Ideal,"Charity. I always try to help those in need, no matter what the personal cost. (Good)",Player's Handbook
Acolyte,Ideal,Change. We must help bring about the changes the gods are constantly working in the world. (Chaotic),Player's Handbook
Acolyte,Ideal,Power. I hope to one day rise to the top of my faith's religious hierarchy. (Lawful),Player's Handbook
Acolyte,Ideal,"Faith. I trust that my deity will guide my actions. I have faith that if I work hard, things will go well. (Lawful)",Player's Handbook
Acolyte,Ideal,Aspiration. I seek to prove myself worthy of my god's favor by matching my actions against his or her teachings. (Any),Player's Handbook
Acolyte,Bond,I would die to recover an ancient relic of my faith that was lost long ago.,Player's Handbook
Acolyte,Bond,I will someday get revenge on the corrupt temple hierarchy who branded me a heretic.,Player's Handbook
Acolyte,Bond,I owe my life to the priest who took me in when my parents died.,Player's Handbook
Acolyte,Bond,Everything I do is for the common people.,Player's Handbook
Acolyte,Bond,I will do anything to protect the temple where I served.,Player's Handbook
Acolyte,Bond,I seek to preserve a sacred text that my enemies consider heretical and seek to destroy.,Player's Handbook
Acolyte,Flaw,"I judge others harshly, and myself even more severely.",Player's Handbook
Acolyte,Flaw,I put too much trust in those who wield power within my temple's hierarchy.,Player's Handbook
Acolyte,Flaw,My piety sometimes leads me to blindly trust those that profess faith in my god.,Player's Handbook
Acolyte,Flaw,I am inflexible in my thinking.,Player's Handbook
Acolyte,Flaw,I am suspicious of strangers and expect the worst of them.,Player's Handbook
Acolyte,Flaw,"Once I pick a goal, I become obsessed with it to the detriment of everything else in my life.",Player's Handbook
Charlatan,Scam,I cheat at games of chance.,Player's Handbook
Charlatan,Scam,I shave coins or forge documents.,Player's Handbook
Charlatan,Scam,I insinuate myself into people's lives to prey on their weakness and secure their fortunes.,Player's Handbook
Charlatan,Scam,I put on new identities like clothes.,Player's Handbook
Charlatan,Scam,I run sleight-of-hand cons on street corners.,Player's Handbook
Charlatan,Scam,I convince people that worthless junk is worth their hard-earned money.,Player's Handbook
Charlatan,Trait,"I fall in and out of love easily, and am always pursuing someone.",Player's Handbook
Charlatan,Trait,"I have a joke for every occasion, especially occasions where humor is inappropriate.",Player's Handbook
Charlatan,Trait,Flattery is my preferred trick for getting what I want.,Player's Handbook
Charlatan,Trait,I'm a born gambler who can't resist taking a risk for a potential payoff.,Player's Handbook
Charlatan,Trait,"I lie about almost everything, even when there's no reason to.",Player's Handbook
Charlatan,Trait,Sarcasm and insults are my weapons of choice.,Player's Handbook
Charlatan,Trait,I keep multiple holy symbols on me and invoke whatever deity might come in useful at any given moment.,Player's Handbook
Charlatan,Trait,I pocket anything I see that might have some value.,Player's Handbook
Charlatan,Ideal,Independence. I am a free spirit-no one tells me what to do. (Chaotic),Player's Handbook
Charlatan,Ideal,Fairness. I never target people who can't afford to lose a few coins. (Lawful),Player's Handbook
Charlatan,Ideal,Charity. I distribute the money I acquire to the people who really need it. (Good),Player's Handbook
Charlatan,Ideal,Creativity. I never run the same con twice. (Chaotic),Player's Handbook
Charlatan,Ideal,Friendship. Material goods come and go. bond of friendship last forever. (Good),Player's Handbook
Charlatan,Ideal,Aspiration. I'm determined to make something of myself. (Any),Player's Handbook
Charlatan,Bond,I fleeced the wrong person and must work to ensure that this individual never crosses paths with me or those I care about.,Player's Handbook
Charlatan,Bond,I owe everything to my mentor-a horrible person who's probably rotting in jail somewhere.,Player's Handbook
Charlatan,Bond,"Somewhere out there, I have a child who doesn't know me. I'm making the world better for him or her.",Player's Handbook
Charlatan,Bond,"I come from a noble family, and one day I'll reclaim my lands and title from those who stole them from me.",Player's Handbook
Charlatan,Bond,"A powerful person killed someone I love. Some day soon, I'll have my revenge.",Player's Handbook
Charlatan,Bond,I swindled and ruined a person who didn't deserve it. I seek to atone for my misdeeds but might never be able to forgive myself.,Player's Handbook
Charlatan,Flaw,I can't resist a pretty face.,Player's Handbook
Charlatan,Flaw,I'm always in debt. I spend my ill-gotten gains on decadent luxuries faster than I bring them in.,Player's Handbook
Charlatan,Flaw,I'm convinced that no one could ever fool me the way I fool others.,Player's Handbook
Charlatan,Flaw,I'm too greedy for my own good. I can't resist taking a risk if there's money involved.,Player's Handbook
Charlatan,Flaw,I can't resist swindling people who are more powerful than me.,Player's Handbook
Charlatan,Flaw,"I hate to admit it and will hate myself for it, but I'll run and preserve my own hide if the going gets tough.",Player's Handbook
Criminal,Specialty,Blackmailer,Player's Handbook
Criminal,Specialty,Burglar,Player's Handbook
Criminal,Specialty,Enforcer,Player's Handbook
Criminal,Specialty,Fence,Player's Handbook
Criminal,Specialty,Highway robber,Player's Handbook
Criminal,Specialty,Hired killer,Player's Handbook
Criminal,Specialty,Pickpocket,Player's Handbook
Criminal,Specialty,Smuggler,Player's Handbook
Criminal,Trait,I always have a plan for when things go wrong.,Player's Handbook
Criminal,Trait,"I am always calm, no matter what the situation. I never raise my voice or let my emotions control me.",Player's Handbook
Criminal,Trait,The first thing I do in a new place is note the locations of everything valuable-or where such things could be hidden.,Player's Handbook
Criminal,Trait,I would rather make a new friend than a new enemy.,Player's Handbook
Criminal,Trait,I am incredibly slow to trust. Those who seem the fairest often have the most to hide.,Player's Handbook
Criminal,Trait,I don't pay attention to the risks in a situation. Never tell me the odds.,Player's Handbook
Criminal,Trait,The best way to get me to do something is to tell me I can't do it.,Player's Handbook
Criminal,Trait,I blow up at the slightest insult.,Player's Handbook
Criminal,Ideal,Honor. I don't steal from others in the trade. (Lawful),Player's Handbook
Criminal,Ideal,"Freedom. Chains are meant to be broken, as are those who would forge them. (Chaotic)",Player's Handbook
Criminal,Ideal,Charity. I steal from the wealthy so that I can help people in need. (Good),Player's Handbook
Criminal,Ideal,Greed. I will do whatever it takes to become wealthy. (Evil),Player's Handbook
Criminal,Ideal,"People. I'm loyal to my friends, not to any ideals, and everyone else can take a trip down the Styx for all I care. (Neutral)",Player's Handbook
Criminal,Ideal,Redemption. There's a spark of good in everyone. (Good),Player's Handbook
Criminal,Bond,I'm trying to pay off an old debt I owe to a generous benefactor.,Player's Handbook
Criminal,Bond,My ill-gotten gains go to support my family.,Player's Handbook
Criminal,Bond,"Something important was taken from me, and I aim to steal it back.",Player's Handbook
Criminal,Bond,I will become the greatest thief that ever lived.,Player's Handbook
Criminal,Bond,I'm guilty of a terrible crime. I hope I can redeem myself for it.,Player's Handbook
Criminal,Bond,Someone I loved died because of a mistake I made. That will never happen again.,Player's Handbook
Criminal,Flaw,"When I see something valuable, I can't think about anything but how to steal it.",Player's Handbook
Criminal,Flaw,"When faced with a choice between money and my friends, I usually choose the money.",Player's Handbook
Criminal,Flaw,"If there's a plan, I'll forget it. If I don't forget it, I'll ignore it.",Player's Handbook
Criminal,Flaw,I have a 'tell' that reveals when I'm lying.,Player's Handbook
